City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,122,Iqaluit,CA,2021-11-29 00:29:24,63.7506,-68.5145,24.53,63,90,11.5
123,123,Lata,PT,2021-11-29 00:29:24,40.1629,-8.3327,52.21,91,97,10.04
124,124,Nerchinskiy Zavod,RU,2021-11-29 00:29:25,51.3088,119.61,-3.26,99,58,1.97
125,125,Hithadhoo,MV,2021-11-29 00:29:25,-0.6,73.0833,81.41,76,80,19.1
126,126,Gwanda,ZW,2021-11-29 00:29:26,-20.9333,29.0,69.93,57,45,5.32
127,127,Hualmay,PE,2021-11-29 00:29:26,-11.0964,-77.6139,66.61,84,79,10.4
128,128,Chuy,UY,2021-11-29 00:29:26,-33.6971,-53.4616,64.26,96,100,3.87
129,129,San Felipe,VE,2021-11-29 00:29:27,10.3399,-68.7425,71.26,98,98,2.21
130,130,Cabras,IT,2021-11-29 00:29:27,39.93,8.5314,49.51,63,99,21.18
131,131,Nauta,PE,2021-11-29 00:29:27,-4.5061,-73.5757,76.03,94,100,1.77
132,132,Vila,PT,2021-11-29 00:29:28,42.0304,-8.1588,43.68,95,100,5.26
133,133,Coihaique,CL,2021-11-29 00:29:28,-45.5752,-72.0662,55.35,50,75,8.05
134,134,Howard Springs,AU,2021-11-29 00:29:28,-12.497,131.047,89.51,63,100,4.09
135,135,Mecca,SA,2021-11-29 00:26:42,21.4267,39.8261,76.21,58,0,0.49
136,136,Guerrero Negro,MX,2021-11-29 00:26:36,27.9769,-114.0611,73.27,43,0,9.98
137,137,Leshukonskoye,RU,2021-11-29 00:29:29,64.8989,45.7622,12.76,93,100,7.52
138,138,Tonantins,BR,2021-11-29 00:29:29,-2.8731,-67.8022,77.85,85,100,2.46
139,139,Provideniya,RU,2021-11-29 00:25:10,64.3833,-173.3,-5.69,59,0,8.95
140,140,Lavrentiya,RU,2021-11-29 00:29:30,65.5833,-171.0,-12.42,90,5,7.67
141,141,Kieta,PG,2021-11-29 00:29:30,-6.2167,155.6333,85.28,66,98,3.6
142,142,San,ML,2021-11-29 00:29:30,13.3034,-4.8956,81.84,14,92,7.4
143,143,Imbituba,BR,2021-11-29 00:30:31,-28.24,-48.6703,73.29,93,76,6.11
144,144,Morgan City,US,2021-11-29 00:30:31,29.6994,-91.2068,62.6,94,20,0.0
145,145,Bambous Virieux,MU,2021-11-29 00:30:32,-20.3428,57.7575,71.85,88,40,4.61
146,146,Gamba,GA,2021-11-29 00:30:32,-2.65,10.0,77.02,89,98,6.08
147,147,Hobyo,SO,2021-11-29 00:30:32,5.3505,48.5268,80.65,77,22,17.16
148,148,Concarneau,FR,2021-11-29 00:30:33,47.875,-3.9225,45.37,90,64,8.01
149,149,Mapimi,MX,2021-11-29 00:30:33,25.8167,-103.85,65.17,49,66,4.43
150,150,Wuwei,CN,2021-11-29 00:30:33,37.9281,102.6414,24.84,43,0,0.98
151,151,Coquimbo,CL,2021-11-29 00:26:08,-29.9533,-71.3436,60.53,82,0,10.36
152,152,Skjervoy,NO,2021-11-29 00:30:34,70.0311,20.9714,29.77,70,99,8.79
153,153,Kavaratti,IN,2021-11-29 00:30:34,10.5669,72.642,80.82,80,100,18.03
154,154,Warwick,US,2021-11-29 00:25:36,41.7001,-71.4162,37.53,69,90,0.0
155,155,Marihatag,PH,2021-11-29 00:30:35,8.7936,126.2969,81.12,82,73,3.38
156,156,Pombia,IT,2021-11-29 00:30:35,45.653,8.6336,33.51,93,0,6.91
157,157,Norman Wells,CA,2021-11-29 00:30:35,65.282,-126.8329,-16.56,69,90,14.97
158,158,Reconquista,AR,2021-11-29 00:30:10,-29.15,-59.65,63.72,71,0,4.79
159,159,Launceston,AU,2021-11-29 00:27:34,-41.45,147.1667,64.04,59,3,8.05
160,160,Broome,US,2021-11-29 00:30:36,42.2506,-75.833,32.77,100,90,6.91
161,161,Chipata,ZM,2021-11-29 00:30:36,-13.6333,32.65,64.69,65,4,5.03
162,162,Lucapa,AO,2021-11-29 00:30:37,-8.4192,20.7447,63.18,97,90,2.33
163,163,Viedma,AR,2021-11-29 00:30:24,-40.8135,-62.9967,61.0,60,84,8.08
164,164,Port Elizabeth,ZA,2021-11-29 00:25:48,-33.918,25.5701,62.89,88,0,10.36
165,165,Alexandria,EG,2021-11-29 00:29:56,31.2156,29.9553,70.34,49,94,6.8
166,166,Haines Junction,CA,2021-11-29 00:30:38,60.7522,-137.5108,-13.05,77,100,1.14
167,167,Tuktoyaktuk,CA,2021-11-29 00:30:38,69.4541,-133.0374,-11.2,77,90,17.27
168,168,Talnakh,RU,2021-11-29 00:30:38,69.4865,88.3972,-17.25,99,99,4.29
169,169,Maloy,NO,2021-11-29 00:30:39,61.9353,5.1136,28.13,60,77,7.54
