City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
624,Mapiripan,CO,88.68,broken clouds,2.8892,-72.1256,Monserrate
628,Balikpapan,ID,75.36,overcast clouds,-1.2675,116.8289,ibis Balikpapan
646,Buchanan,LR,87.76,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
650,Razole,IN,77.29,light rain,16.4833,81.8333,Sterling Palavelli Godavari
653,Puerto Madryn,AR,79.39,clear sky,-42.7692,-65.0385,Hotel Tolosa
656,Kasama,ZM,79.21,scattered clouds,-10.2129,31.1808,Kalebalika Cottages
657,Bull Savanna,JM,81.3,overcast clouds,17.8868,-77.5902,Big Red's
661,Tanete,ID,75.58,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
670,Gurupi,BR,83.48,moderate rain,-11.7292,-49.0686,Via Norte Hotel
671,Pattukkottai,IN,77.31,few clouds,10.4333,79.3167,Arasu Plaza Hotel
